Taxa,Mother,Father
E2695,PC_M58_ID1,PC_N09_ID1
E2696,PC_N14_ID2,PC_I58_ID2
E2697,PC_N57_ID2,PC_J07_ID2
E2700,PC_N13_ID1,PC_N13_ID1
E2702,PC_I05_ID1,PC_L12_ID1
E2704,PC_L08_ID1,PC_L08_ID1
E2705,PC_L12_ID1,PC_J08_ID1
E2706,PC_N11_ID1,PC_K02_ID1
E2708,PC_O59_ID2,PC_O59_ID2
E2710,PC_L14_ID1,PC_L14_ID1
E2714,PC_J50_ID1,PC_J50_ID1
E2715,PC_N10_ID2,PC_N10_ID2
E2717,PC_I52_ID1,PC_I52_ID1
E2718,PC_J10_ID1,PC_J08_ID1
E2719,PC_K54_ID1,PC_J51_ID1
E2720,PC_K55_ID2,PC_K55_ID2
E2722,PC_I11_ID2,PC_K55_ID2
E2725,PC_O51_ID2,PC_O51_ID2
E2726,PC_L14_ID1,PC_M05_ID1
E2727,PC_I05_ID1,PC_I52_ID1
E2728,PC_J12_ID1,PC_M59_ID1
E2731,PC_N48_ID1,PC_N48_ID1
E2734,PC_O51_ID2,PC_O51_ID2
E2735,PC_K54_ID1,PC_K54_ID1
E2736,PC_L14_ID1,PC_L14_ID1
E2737,PC_J13_ID1,PC_N13_ID1
E2738,PC_N07_ID1,PC_N13_ID1
E2743,PC_O59_ID1,PC_I06_ID1
E2744,PC_L48_ID2,PC_L48_ID2
E2746,PC_N58_ID2,PC_N58_ID2
E2747,PC_I50_ID2,PC_I50_ID2
E2748,PC_J12_ID1,PC_L08_ID1
E2750,PC_N04_ID1,PC_N07_ID1
E2751,PC_L56_ID1,PC_L56_ID1
E2752,PC_L56_ID1,PC_L56_ID1
E2753,PC_M15_ID1,PC_N04_ID1
E2754,PC_K60_ID1,PC_K60_ID1
E2757,PC_N14_ID2,PC_N14_ID2
E2759,PC_N57_ID2,PC_N57_ID2
E2762,PC_K60_ID1,PC_J04_ID1
E2764,PC_J50_ID1,PC_L10_ID1
E2765,PC_I50_ID1,PC_I06_ID1
E2766,PC_J07_ID2,PC_L12_ID2
E2768,PC_K60_ID1,PC_K60_ID1
