Taxa,Mother,Father
A0302:250415884,PC_J14_ID2,PC_J14_ID2
A0303:250415885,PC_I50_ID2,PC_N07_ID2
A0305:250415886,PC_J50_ID1,PC_I06_ID1
A0311:250415887,PC_J10_ID1,PC_O08_ID1
A0312:250415888,PC_O59_ID2,PC_O59_ID2
A0313:250415889,PC_N11_ID1,PC_K02_ID1
A0315:250415890,PC_M58_ID1,PC_J13_ID1
A0318:250415891,PC_L48_ID2,PC_O08_ID2
A0320:250415892,PC_N09_ID1,PC_N07_ID1
A0321:250415893,PC_I11_ID2,PC_K55_ID2
A0323:250415894,PC_J51_ID1,PC_K60_ID1
A0324:250415895,PC_I11_ID2,PC_K55_ID2
A0325:250415896,PC_I11_ID2,PC_I11_ID2
A0328:250441883,PC_N11_ID1,PC_N11_ID1
A0329:250415897,PC_I52_ID1,PC_I06_ID1
A0330:250415898,PC_M59_ID1,PC_M59_ID1
A0331:250415899,PC_M15_ID1,PC_M15_ID1
A0332:250415900,PC_O08_ID2,PC_O08_ID2
A0335:250415901,PC_M15_ID1,PC_O51_ID1
A0336:250441875,PC_L12_ID2,PC_L12_ID2
A0337:250415902,PC_N09_ID1,PC_N09_ID1
A0342:250415903,PC_J50_ID1,PC_J50_ID1
A0343:250441876,PC_I06_ID1,PC_I05_ID1
A0345:250415904,PC_I52_ID1,PC_I06_ID1
A0347:250415905,PC_I05_ID1,PC_L12_ID1
A0348:250415906,PC_O51_ID2,PC_O51_ID2
A0349:250415907,PC_L12_ID2,PC_L12_ID2
A0350:250415908,PC_K60_ID1,PC_N07_ID1
A0351:250415909,PC_N07_ID1,PC_N07_ID1
A0352:250415910,PC_J10_ID1,PC_M59_ID1
A0353:250441877,PC_N57_ID2,PC_N57_ID2
A0354:250415911,PC_I52_ID1,PC_I52_ID1
A0355:250415912,PC_N09_ID1,PC_N13_ID1
A0356:250415913,PC_N11_ID1,PC_M05_ID1
A0358:250415914,PC_J48_ID2,PC_J48_ID2
A0359:250415915,PC_O59_ID2,PC_O59_ID2
A0360:250415916,PC_I52_ID1,PC_I06_ID1
A0361:250415917,PC_J51_ID1,PC_N13_ID1
A0362:250415918,PC_N03_ID2,PC_L06_ID2
A0363:250415919,PC_N48_ID1,PC_J51_ID1
A0365:250415920,PC_N03_ID2,PC_I50_ID2
A0372:250415921,PC_I06_ID1,PC_O10_ID1
A0375:250415922,PC_N14_ID2,PC_I55_ID2
A0377:250415923,PC_M59_ID1,PC_L08_ID1
A0378:250415924,PC_N13_ID1,PC_L56_ID1
A0379:250415925,PC_I52_ID1,PC_L12_ID1
A0380:250415926,PC_O51_ID2,PC_O51_ID2
A0384:250415927,PC_K02_ID1,PC_K60_ID1
A0385:250415928,PC_K55_ID2,PC_I11_ID2
A0387:250415929,PC_M05_ID1,PC_M05_ID1
A0389:250415930,PC_L48_ID2,PC_L48_ID2
A0392:250415962,PC_J50_ID1,PC_I06_ID1
A0393:250415963,PC_N14_ID2,PC_N14_ID2
A0395:250415964,PC_J51_ID1,PC_J51_ID1
A0397:250415965,PC_O08_ID2,PC_O08_ID2
A0399:250415966,PC_N13_ID1,PC_N07_ID1
A0402:250415967,PC_L14_ID1,PC_L14_ID1
A0404:250415968,PC_J51_ID1,PC_K60_ID1
A0405:250441878,PC_I50_ID2,PC_I50_ID2
A0406:250415969,PC_L56_ID1,PC_M59_ID1
A0407:250415970,PC_M59_ID1,PC_M59_ID1
A0414:250415971,PC_K55_ID2,PC_K55_ID2
A0415:250415972,PC_J13_ID1,PC_J13_ID1
A0416:250415973,PC_M58_ID1,PC_M58_ID1
A0417:250415974,PC_L12_ID1,PC_L12_ID1
A0420:250415975,PC_M05_ID1,PC_M05_ID1
A0422:250415976,PC_I50_ID1,PC_I06_ID1
A0423:250415977,PC_L12_ID1,PC_L12_ID1
A0426:250415978,PC_N48_ID1,PC_N48_ID1
A0429:250415979,PC_J51_ID1,PC_N13_ID1
A0433:250415981,PC_I58_ID2,PC_L06_ID2
A0434:250415982,PC_J13_ID1,PC_J04_ID1
A0435:250415983,PC_N14_ID2,PC_J48_ID2
A0439:250415984,PC_J07_ID2,PC_L12_ID2
A0444:250415985,PC_N03_ID2,PC_L06_ID2
A0449:250415986,PC_L56_ID1,PC_L56_ID1
A0450:250415987,PC_L14_ID1,PC_L14_ID1
A0451:250415989,PC_N48_ID1,PC_N48_ID1
A0452:250415990,PC_J14_ID2,PC_O59_ID2
A0453:250415991,PC_L48_ID2,PC_L06_ID2
A0454:250415992,PC_L06_ID2,PC_L06_ID2
A0455:250415993,PC_K54_ID1,PC_I06_ID1
A0456:250415994,PC_I55_ID2,PC_I55_ID2
A0458:250415995,PC_M58_ID1,PC_J13_ID1
A0459:250415996,PC_I06_ID1,PC_J08_ID1
A0461:250415997,PC_K60_ID1,PC_I06_ID1
A0462:250415998,PC_I52_ID1,PC_I52_ID1
A0463:250415999,PC_N58_ID2,PC_N58_ID2
A0464:250416000,PC_N03_ID2,PC_I50_ID2
A0465:250416001,PC_I55_ID2,PC_I55_ID2
A0466:250416002,PC_N03_ID2,PC_N03_ID2
A0468:250416003,PC_N14_ID2,PC_I58_ID2
A0470:250416004,PC_L56_ID1,PC_L56_ID1
A0471:250416005,PC_M58_ID1,PC_J13_ID1
A0473:250416006,PC_K55_ID2,PC_K55_ID2
A0474:250416007,PC_N57_ID2,PC_J07_ID2
A0475:250416008,PC_J50_ID1,PC_L12_ID1
A0476:250416009,PC_I55_ID2,PC_I55_ID2
A0477:250416010,PC_N14_ID2,PC_I55_ID2
A0481:250416011,PC_L08_ID1,PC_N07_ID1
A0483:250416012,PC_J04_ID1,PC_L56_ID1
A0484:250416013,PC_L48_ID2,PC_L48_ID2
A0485:250416014,PC_L06_ID2,PC_I55_ID2
A0486:250416015,PC_I50_ID1,PC_I06_ID1
A0487:250416016,PC_I58_ID1,PC_L12_ID1
A0488:250416017,PC_L12_ID1,PC_L12_ID1
A0490:250416018,PC_K54_ID1,PC_N13_ID1
A0493:250416019,PC_I52_ID1,PC_I06_ID1
A0494:250416020,PC_N07_ID2,PC_N07_ID2
A0495:250416021,PC_J13_ID1,PC_J04_ID1
A0496:250416022,PC_J12_ID1,PC_J10_ID1
A0500:250416023,PC_N13_ID1,PC_N07_ID1
A0503:250416024,PC_L12_ID2,PC_L12_ID2
A0505:250416025,PC_L48_ID2,PC_L06_ID2
A0506:250416026,PC_J04_ID1,PC_N07_ID1
A0508:250416027,PC_K02_ID1,PC_K02_ID1
A0511:250416028,PC_N48_ID1,PC_N07_ID1
A0512:250416029,PC_J48_ID2,PC_J48_ID2
A0513:250416030,PC_I58_ID2,PC_I58_ID2
A0516:250416031,PC_J51_ID1,PC_K60_ID1
A0517:250416032,PC_I05_ID1,PC_L12_ID1
A0518:250416033,PC_J51_ID1,PC_N13_ID1
A0520:250416034,PC_I52_ID1,PC_I52_ID1
A0524:250416035,PC_K54_ID1,PC_K54_ID1
A0525:250416036,PC_L08_ID1,PC_L08_ID1
A0528:250416037,PC_I11_ID2,PC_I11_ID2
A0529:250416038,PC_J10_ID1,PC_M59_ID1
A0530:250416039,PC_O08_ID2,PC_I11_ID2
A0531:250416040,PC_N58_ID2,PC_N58_ID2
A0532:250416041,PC_K60_ID1,PC_J13_ID1
A0533:250416042,PC_J51_ID1,PC_N07_ID1
A0534:250416043,PC_I52_ID1,PC_I52_ID1
A0535:250416044,PC_K54_ID1,PC_L08_ID1
A0536:250416045,PC_L08_ID1,PC_L08_ID1
A0537:250416046,PC_L48_ID2,PC_L06_ID2
A0538:250416047,PC_L06_ID2,PC_L06_ID2
A0539:250416048,PC_I50_ID2,PC_I50_ID2
A0541:250416049,PC_J51_ID1,PC_J51_ID1
A0544:250416050,PC_I11_ID2,PC_J07_ID2
A0546:250416051,PC_I58_ID1,PC_L56_ID1
A0547:250416052,PC_N14_ID2,PC_I58_ID2
A0548:250416053,PC_J50_ID1,PC_J50_ID1
A0550:250416054,PC_J12_ID1,PC_L08_ID1
A0551:250416055,PC_J07_ID2,PC_L12_ID2
A0552:250416056,PC_K60_ID1,PC_J13_ID1
A0553:250416057,PC_L14_ID1,PC_L14_ID1
A0555:250416089,PC_I06_ID1,PC_I06_ID1
A0556:250416090,PC_N04_ID1,PC_N04_ID1
A0557:250416091,PC_N09_ID1,PC_J04_ID1
A0560:250416092,PC_I11_ID2,PC_K55_ID2
A0561:250416093,PC_O51_ID2,PC_O51_ID2
A0564:250416094,PC_J13_ID1,PC_N07_ID1
A0566:250416095,PC_N57_ID2,PC_N58_ID2
A0569:250416096,PC_I58_ID1,PC_L56_ID1
A0571:250416097,PC_N14_ID2,PC_N14_ID2
A0572:250416098,PC_J07_ID2,PC_N57_ID2
A0573:250416099,PC_J14_ID2,PC_O59_ID2
A0574:250416100,PC_K60_ID1,PC_I06_ID1
A0575:250416101,PC_L06_ID2,PC_I55_ID2
A0576:250441879,PC_L48_ID2,PC_L48_ID2
A0577:250416102,PC_J10_ID1,PC_L08_ID1
A0580:250416103,PC_I52_ID1,PC_I06_ID1
A0584:250416104,PC_J12_ID1,PC_M59_ID1
A0585:250416105,PC_L14_ID1,PC_I58_ID1
A0586:250416106,PC_N07_ID1,PC_N07_ID1
A0588:250416107,PC_I58_ID1,PC_N07_ID1
A0594:250416108,PC_I58_ID2,PC_I58_ID2
A0596:250416109,PC_L14_ID1,PC_L14_ID1
A0597:250416110,PC_J48_ID2,PC_I11_ID2
A0599:250416111,PC_L48_ID2,PC_L48_ID2
A0601:250416112,PC_O08_ID2,PC_J48_ID2
A0602:250416113,PC_I55_ID2,PC_I55_ID2
A0603:250416114,PC_N14_ID2,PC_N14_ID2
A0605:250416116,PC_N10_ID2,PC_J14_ID2
A0606:250416117,PC_N13_ID1,PC_L48_ID1
A0609:250416118,PC_L56_ID1,PC_L56_ID1
A0610:250416119,PC_J50_ID1,PC_J50_ID1
A0615:250416120,PC_I55_ID2,PC_I55_ID2
A0621:250416121,PC_L06_ID2,PC_I55_ID2
A0624:250416122,PC_L08_ID1,PC_J14_ID1
A0627:250416124,PC_N14_ID2,PC_N14_ID2
A0629:250416125,PC_N48_ID1,PC_N48_ID1
A0631:250416126,PC_N58_ID2,PC_I11_ID2
A0632:250416127,PC_I08_ID1,PC_I06_ID1
A0633:250416128,PC_J10_ID1,PC_O08_ID1
A0634:250416129,PC_M15_ID1,PC_I06_ID1
A0636:250416130,PC_J10_ID1,PC_M15_ID1
A0640:250416131,PC_J48_ID2,PC_N07_ID2
A0642:250416132,PC_I08_ID1,PC_I08_ID1
A0643:250416133,PC_K55_ID2,PC_O51_ID2
A0644:250416134,PC_M59_ID1,PC_M59_ID1
A0646:250416135,PC_N13_ID1,PC_I06_ID1
A0647:250416136,PC_J04_ID1,PC_J04_ID1
A0650:250416137,PC_I52_ID1,PC_I52_ID1
A0651:250416138,PC_J14_ID2,PC_O59_ID2
A0655:250416139,PC_N04_ID1,PC_I06_ID1
A0656:250416140,PC_L12_ID1,PC_L12_ID1
A0658:250416141,PC_I58_ID2,PC_N14_ID2
A0661:250416142,PC_L14_ID1,PC_K02_ID1
A0663:250416143,PC_O59_ID2,PC_O59_ID2
A0666:250416144,PC_N57_ID2,PC_N57_ID2
A0668:250416145,PC_J10_ID1,PC_J08_ID1
A0669:250416146,PC_L08_ID1,PC_J08_ID1
A0673:250416147,PC_I55_ID2,PC_I58_ID2
A0674:250416148,PC_L08_ID1,PC_J08_ID1
A0675:250416149,PC_J04_ID1,PC_J04_ID1
A0677:250416150,PC_O59_ID2,PC_O59_ID2
A0678:250416151,PC_I05_ID1,PC_I06_ID1
A0680:250416152,PC_I50_ID1,PC_I06_ID1
A0684:250416153,PC_I08_ID1,PC_I08_ID1
A0687:250416154,PC_J13_ID1,PC_N58_ID1
A0689:250416155,PC_K60_ID1,PC_J04_ID1
A0691:250416156,PC_N57_ID2,PC_J07_ID2
A0692:250416157,PC_M59_ID1,PC_L56_ID1
A0694:250416158,PC_I58_ID2,PC_N14_ID2
A0696:250416159,PC_L06_ID2,PC_L06_ID2
A0697:250416160,PC_M05_ID1,PC_M05_ID1
A0698:250416161,PC_I11_ID2,PC_K55_ID2
A0699:250416162,PC_N11_ID1,PC_J50_ID1
A0700:250416163,PC_N03_ID2,PC_I50_ID2
A0701:250416164,PC_N09_ID1,PC_I06_ID1
A0702:250416165,PC_J07_ID2,PC_J07_ID2
A0703:250416166,PC_N03_ID2,PC_I50_ID2
A0704:250416167,PC_N10_ID2,PC_N10_ID2
A0705:250416168,PC_K54_ID1,PC_L48_ID1
A0706:250416169,PC_L12_ID2,PC_L12_ID2
A0707:250416170,PC_M58_ID1,PC_M58_ID1
A0708:250416171,PC_J14_ID2,PC_J14_ID2
A0710:250416172,PC_N03_ID2,PC_L06_ID2
A0712:250416173,PC_J48_ID2,PC_J48_ID2
A0713:250416174,PC_N07_ID1,PC_N07_ID1
A0724:250416175,PC_L14_ID1,PC_M05_ID1
A0727:250416176,PC_I08_ID1,PC_N04_ID1
A0728:250416177,PC_N07_ID2,PC_N07_ID2
A0738:250416178,PC_N10_ID2,PC_N10_ID2
A0740:250416179,PC_I58_ID2,PC_I55_ID2
A0741:250416180,PC_O08_ID2,PC_O08_ID2
A0743:250416181,PC_J48_ID2,PC_N07_ID2
A0744:250416182,PC_N07_ID2,PC_N07_ID2
A0752:250416183,PC_J13_ID1,PC_J13_ID1
A0756:250416184,PC_N03_ID2,PC_I50_ID2
A0757:250416216,PC_N13_ID1,PC_N04_ID1
A0762:250416217,PC_O08_ID2,PC_O08_ID2
A0767:250416218,PC_N04_ID1,PC_J04_ID1
A0768:250416219,PC_O08_ID2,PC_O08_ID2
A0771:250416220,PC_N14_ID2,PC_N14_ID2
A0772:250416221,PC_M05_ID1,PC_M05_ID1
A0774:250416222,PC_K55_ID2,PC_K55_ID2
A0775:250416223,PC_J13_ID1,PC_K60_ID1
A0776:250416224,PC_N04_ID1,PC_I06_ID1
A0777:250416225,PC_I55_ID2,PC_I55_ID2
A0778:250416226,PC_L12_ID1,PC_L12_ID1
A0783:250416227,PC_L14_ID1,PC_M05_ID1
A0784:250441880,PC_L14_ID1,PC_L14_ID1
A0785:250416228,PC_L06_ID2,PC_I55_ID2
A0786:250416229,PC_L12_ID1,PC_L12_ID1
A0787:250416230,PC_J51_ID1,PC_N13_ID1
A0788:250416231,PC_L48_ID2,PC_J48_ID2
A0790:250416232,PC_I58_ID1,PC_L08_ID1
A0792:250416233,PC_N48_ID1,PC_I58_ID1
A0793:250416234,PC_I50_ID1,PC_I06_ID1
A0796:250441881,PC_O51_ID2,PC_O51_ID2
A0798:250416235,PC_K55_ID2,PC_K55_ID2
A0799:250416236,PC_J51_ID1,PC_N07_ID1
A0801:250441882,PC_J10_ID1,PC_M59_ID1
A0802:250416237,PC_J14_ID2,PC_J14_ID2
A0803:250416238,PC_K54_ID1,PC_K60_ID1
A0812:250416239,PC_L14_ID1,PC_L14_ID1
A0815:250416240,PC_I05_ID1,PC_I06_ID1
A0818:250416241,PC_M58_ID1,PC_M58_ID1
A0819:250416242,PC_N04_ID1,PC_N04_ID1
A0820:250416243,PC_K60_ID1,PC_J04_ID1
A0821:250416244,PC_I06_ID1,PC_I06_ID1
A0822:250416245,PC_O51_ID2,PC_O51_ID2
A0824:250416246,PC_N10_ID2,PC_N10_ID2
A0825:250416247,PC_N14_ID2,PC_L12_ID2
A0828:250416256,PC_J13_ID1,PC_N04_ID1
A0829:250416257,PC_L48_ID2,PC_I58_ID2
A0830:250416259,PC_N13_ID1,PC_N09_ID1
A0832:250416260,PC_M58_ID1,PC_N04_ID1
A0834:250416261,PC_L08_ID1,PC_L08_ID1
A0835:250416262,PC_N04_ID1,PC_N09_ID1
A0836:250416263,PC_J50_ID1,PC_J50_ID1
A0837:250416248,PC_M58_ID1,PC_M58_ID1
A0838:250416249,PC_N48_ID1,PC_M59_ID1
A0839:250416251,PC_N07_ID1,PC_N07_ID1
A0840:250416252,PC_J04_ID1,PC_I06_ID1
A0842:250416253,PC_L56_ID1,PC_L56_ID1
A0843:250416254,PC_N04_ID1,PC_N04_ID1
A0850:250416255,PC_N10_ID2,PC_N10_ID2
A0853:250416264,PC_J12_ID1,PC_M59_ID1
A0856:250416265,PC_N14_ID2,PC_L12_ID2
A0859:250416266,PC_L48_ID2,PC_J48_ID2
A0861:250416267,PC_I08_ID1,PC_J07_ID1
A0862:250416268,PC_K55_ID2,PC_N10_ID2
A0863:250416269,PC_N09_ID1,PC_L48_ID1
A0864:250416270,PC_J51_ID1,PC_J51_ID1
A0865:250416271,PC_N58_ID2,PC_N58_ID2
A0866:250416272,PC_I05_ID1,PC_I06_ID1
A0867:250416273,PC_J50_ID1,PC_I06_ID1
A0870:250416274,PC_J12_ID1,PC_L08_ID1
A0871:250416275,PC_I50_ID2,PC_I50_ID2
A0872:250416276,PC_N14_ID2,PC_I58_ID2
A0873:250416277,PC_I08_ID1,PC_I06_ID1
A0874:250416278,PC_I05_ID1,PC_L12_ID1
A0876:250416279,PC_L08_ID1,PC_I58_ID1
A0877:250416280,PC_N09_ID1,PC_N07_ID1
A0880:250416281,PC_K54_ID1,PC_K54_ID1
A0882:250416282,PC_I58_ID1,PC_L08_ID1
A0883:250416283,PC_K60_ID1,PC_J51_ID1
A0884:250416284,PC_N48_ID1,PC_K02_ID1
A0885:250416285,PC_K60_ID1,PC_J04_ID1
A0886:250416286,PC_N58_ID2,PC_N58_ID2
A0887:250416287,PC_J10_ID1,PC_L08_ID1
A0890:250416288,PC_J48_ID2,PC_N07_ID2
A0891:250416289,PC_N09_ID1,PC_N07_ID1
A0892:250416290,PC_N09_ID1,PC_N09_ID1
A0894:250416291,PC_K60_ID1,PC_J04_ID1
A0895:250416292,PC_N13_ID1,PC_N07_ID1
A0896:250416293,PC_K55_ID2,PC_O59_ID2
A0897:250416294,PC_O51_ID2,PC_O51_ID2
A0898:250416295,PC_L56_ID1,PC_L56_ID1
A0899:250416296,PC_I52_ID1,PC_I06_ID1
A0900:250416297,PC_L48_ID2,PC_L48_ID2
A0902:250416298,PC_I50_ID1,PC_I50_ID1
A0903:250416299,PC_L56_ID1,PC_M05_ID1
A0904:250416300,PC_K60_ID1,PC_J04_ID1
A0905:250416301,PC_N07_ID1,PC_J04_ID1
A0907:250416302,PC_I50_ID2,PC_I50_ID2
A0908:250416303,PC_J07_ID2,PC_N57_ID2
A0909:250416304,PC_J12_ID1,PC_M59_ID1
A0910:250416305,PC_N11_ID1,PC_N13_ID1
A0911:250416306,PC_I55_ID2,PC_I55_ID2
A0912:250416307,PC_N11_ID1,PC_K02_ID1
A0913:250416308,PC_N13_ID1,PC_N13_ID1
A0918:250416309,PC_J50_ID1,PC_M15_ID1
A0920:250416310,PC_N04_ID1,PC_N04_ID1
A0921:250416311,PC_N03_ID2,PC_J48_ID2
A0924:250416343,PC_J51_ID1,PC_N07_ID1
A0925:250416344,PC_N13_ID1,PC_N07_ID1
A0926:250416345,PC_K02_ID1,PC_N04_ID1
A0928:250416346,PC_L12_ID1,PC_L12_ID1
A0930:250441884,PC_N57_ID2,PC_N57_ID2
A0932:250416347,PC_N57_ID2,PC_J07_ID2
A0933:250416348,PC_L12_ID1,PC_L12_ID1
A0934:250416349,PC_L14_ID1,PC_L14_ID1
A0935:250416350,PC_J51_ID1,PC_K54_ID1
A0936:250416351,PC_N09_ID1,PC_N04_ID1
A0938:250416352,PC_J50_ID1,PC_J50_ID1
A0939:250416353,PC_N10_ID2,PC_J14_ID2
A0940:250416354,PC_M15_ID1,PC_M15_ID1
A0941:250416355,PC_J04_ID1,PC_I58_ID1
A0942:250416356,PC_I58_ID1,PC_I50_ID1
A0944:250416357,PC_L48_ID2,PC_J48_ID2
A0945:250416358,PC_I52_ID1,PC_I06_ID1
A0949:250416359,PC_I06_ID1,PC_I52_ID1
A0952:250416360,PC_M59_ID1,PC_N07_ID1
A0953:250416361,PC_I08_ID1,PC_I06_ID1
