proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
A0539:250416048	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	283	2	2	1494.76832697136	1	9012
A0907:250416302	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	475	2	2	1510.75641839661	1	8930
A4294:250417510	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2217	2	2	1534.06715905221	1	9120
E2142:250284432	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4288	2	2	1468.21570287181	1	8980
A2103:250417107	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1059	2	2	1436.05621161324	1	8972
E2112:250284428	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4271	2	2	1457.74568555763	1	9049
A0871:250416275	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	448	2	2	1437.43054310571	1	9022
A2895:250412805	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1540	2	2	1454.0246138918	1	9083
B3254:250284516	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2989	2	2	1447.53964606973	1	9046
E0589:250283080	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3497	2	2	1490.61367211464	1	9083
B3680:250314823	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3197	2	2	1534.30001690548	1	9157
A2035:250417022	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1007	2	2	1440.90238168203	1	8929
A1153:250416524	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	634	2	2	1454.53143878614	1	9050
A0965:250416370	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	513	2	2	1435.97251138358	1	8956
A5381:250420834	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2637	2	2	1499.20635697887	1	8986
B3046:250272852	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2876	2	2	1481.76606234251	1	9113
A5737:250420988	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2762	2	2	1477.65400610566	1	8921
E0705:250277863	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3561	2	2	1510.2911807845	1	9088
A5265:250421378	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2576	2	2	1478.63874697855	1	9054
A1490:250416749	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	796	2	2	1468.0831171584	1	8848
A2064:250417044	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1029	2	2	1478.92631060144	1	9017
A3617:250413365	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1981	2	2	1530.19812149408	1	9116
E2313:250284046	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4375	2	2	1499.04540509304	1	8992
A5079:250421318	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2513	2	2	1501.63551191696	1	9032
A4382:250417546	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2257	2	2	1420.4501363877	1	9027
A5881:250441784	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2828	2	2	1456.42902282315	1	9065
E2192:250272439	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4320	3	3	1506.75948350641	1	9151
A2729:250441907	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1444	3	3	1460.7160846554	1	9017
E2953:250272792	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4679	3	3	1529.32369109549	1	9116
A2169:250417150	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1101	3	3	1438.52924737717	1	8985
A0615:250416120	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	324	3	3	1475.06356582571	1	9060
