kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
E1936:250272274,25512,0.000117591721542803,0.000391972405142678,173059,0,5.77837616073131e-05,5151,0,0,5.77837616073131e-05,0.000509564126685481,0,0.000112898950530625
A4193:250417431,25512,0,0,173059,0,0,5151,0,0,0,0,0,0
E0847:250277925,27012,0,0,161863,0,0,4829,0,0,0,0,0,0
A4149:250417404,25512,0,0,173059,0,0,5151,0,0,0,0,0,0
A0918:250416309,27480,0,0,161562,0,0,4563,0,0,0,0,0,0
A3534:250413315,25512,0,0,173059,0,0,5151,0,0,0,0,0,0
A5633:250420961,27012,0,0,161863,0,0,4829,0,0,0,0,0,0
A1305:250416625,27766,0,0,170755,0,0,4833,0,0,0,0,0,0
A0634:250416129,25512,0,0,173059,0,0,5151,0,0,0,0,0,0
E2278:250272470,27012,0,0,161863,0,0,4829,0,0,0,0,0,0
E2136:250272405,25512,3.91972405142678e-05,0.00035277516462841,173059,0,5.20053854465818e-05,5151,0,0,5.20053854465818e-05,0.000391972405142678,0,9.32643504383424e-05
A1068:250416474,26080,0,0.000383435582822086,175211,0,5.70740421548875e-05,6435,0,0,5.70740421548875e-05,0.000383435582822086,0,9.62806774308464e-05
B3723:250314841,30151,0.000298497562269908,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000630161520347584,0,0.00013343701542808
E0470:250283034,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A5783:250421008,30151,0.000298497562269908,0,181792,5.50079211406443e-05,0,5388,0,0,5.50079211406443e-05,0.000298497562269908,0,8.74242514873626e-05
A0958:250416365,30151,0.000298497562269908,0,181792,0,0,5388,0,0,0,0.000298497562269908,0,4.14114875466454e-05
B3045:250272851,28189,0,0,170462,5.8664101089979e-05,0,5007,0,0,5.8664101089979e-05,0,0,4.9101925777529e-05
A0692:250416157,26080,0,0,175211,5.13666379393988e-05,0,6435,0,0,5.13666379393988e-05,0,0,4.33263048438809e-05
