kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
A5740:250420990,7697,0.388852799792127,0.311679875276082,65055,0.000276688955499193,0.0368764891245869,1056,0,0
A0572:250416098,9197,0.351527672066978,0.273676198760465,80712,0.000210625433640599,0.0311849539101992,1261,0,0
A0474:250416007,6350,0.400787401574803,0.317322834645669,55674,0.000323310701584222,0.0361928368717893,827,0.00362756952841596,0.00120918984280532
E1505:250271945,10588,0.358896864374764,0.278900642236494,92062,0.000488801025395929,0.0320762095109817,1478,0.0006765899864682,0.0013531799729364
E1276:250310612,10134,0.365403591868956,0.289027037694888,88478,0.000610321209792265,0.0331042745089175,1429,0,0.00139958012596221
B3320:250273054,10537,0.349909841510866,0.269051912309006,92574,0.00058331713007972,0.0306241493291853,1479,0.00135226504394861,0.00270453008789723
A0137:250415775,7819,0.370891418339941,0.301700984780662,67431,0.00023727958950631,0.0349839094778366,972,0,0
E1186:250310573,10548,0.352768297307546,0.293041334850209,90686,0.000948327194936374,0.0340846437156783,1485,0.00202020202020202,0.00606060606060606
E1403:250271903,10477,0.34733225159874,0.285864274124272,91273,0.000471114130137061,0.0328136469711744,1458,0.000685871056241427,0.000685871056241427
A5458_1:250441833,5680,0.442605633802817,0.359859154929577,49733,0.00233245531136268,0.0410994711760803,796,0.0113065326633166,0.00879396984924623
A3542:250413319,10463,0.331931568383829,0.263308802446717,90400,0.000309734513274336,0.0304756637168142,1465,0,0.00068259385665529
A5451_1:250441832,5939,0.427176292305102,0.356120559016669,53525,0.0003176085941149,0.039514245679589,807,0,0
A0908:250416303,6932,0.388199653779573,0.299913444893249,61142,0.000245330542016944,0.0340028131235485,931,0,0
E1481:250271939,12315,0.304506699147381,0.225010150223305,105283,0.000617383623187029,0.0263195387669424,1726,0,0.00347624565469293
A3273:250413093,10746,0.331379117811279,0.25144239717104,93914,0.000404625508443895,0.0287710032583001,1535,0.000651465798045603,0.00260586319218241
E1146:250278070,10380,0.370423892100193,0.301156069364162,90151,0.000421515013699238,0.0346751561269426,1501,0,0.00199866755496336
E1780:250284380,5078,0.437967703820402,0.363135092556124,44528,0.00105551563061444,0.0414121451670859,746,0.0160857908847185,0.00402144772117962
A3757:250417269,7130,0.399859747545582,0.304347826086957,61385,0.000244359371181885,0.035350655697646,1029,0,0
E1649:250272061,10306,0.378614399379003,0.310110615175626,84096,0.000570776255707763,0.0380041856925419,1328,0,0.000753012048192771
E1718:250272089,10589,0.352252337331193,0.276418925299839,92555,0.000723893900923775,0.0316244395224461,1493,0.000669792364367046,0.00133958472873409
E0254:250283160,9714,0.367613753345687,0.292979205270743,84639,0.000850671676177649,0.0336251609777998,1376,0,0
E0867:250277936,10877,0.372988875609083,0.291808403052312,94102,0.000595098935197977,0.0337293575056853,1584,0,0
