kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
14FL991027:250410255,3998,0.374687343671836,0.300900450225113,81680,0.000428501469147894,0.0147282076395691,861,0,0.00116144018583043
13FL991948:250307760,3936,0.381605691056911,0.321900406504065,82867,0.000736119323735625,0.0152895603798858,950,0.00105263157894737,0
14FL991616:250410918,2675,0.418691588785047,0.339439252336449,59432,0.000370170951675865,0.0152779647328039,632,0,0
14FL992709:250412025,6455,0.361270333075136,0.311076684740511,76698,0.000495449685780594,0.0261806044486167,728,0,0.00137362637362637
13FL992609:250426725,3102,0.425531914893617,0.332688588007737,66648,0.00096026887528508,0.0154843356139719,680,0.00294117647058824,0
14FL992349:250411644,6020,0.392857142857143,0.302159468438538,74163,0.000283160066340358,0.0245270552701482,748,0,0
13FL992800:250308905,4292,0.372553588070829,0.289608574091333,89165,0.00079627656591712,0.0139404474849997,1063,0,0.00658513640639699
13FL992970:250426826,6906,0.374891398783666,0.29814653924124,70657,0.00210877903109388,0.0291407786914248,849,0.00471142520612485,0.00588928150765607
13FL991583:250306180,4252,0.379586077140169,0.295155221072437,89217,0.00117690574666263,0.0140668258291581,1062,0.00376647834274953,0.000941619585687382
14FL990534:250409683,5208,0.385752688172043,0.305299539170507,63566,0.000298901928704024,0.0250133719283894,591,0.00169204737732657,0.0050761421319797
13FL992923:250426780,3635,0.391196698762036,0.302338376891334,76438,0.000641042413459274,0.0143776655590151,871,0.00114810562571757,0.00114810562571757
14FL990914:250410130,6491,0.377907872438761,0.313665074718841,67065,0.000298218146574219,0.0303586073212555,787,0,0
14FL990479:250409641,3082,0.395197923426347,0.326086956521739,66428,0.000225808394050702,0.015129162401397,696,0,0
13FL991842:250307633,3786,0.392498679344955,0.295826730058109,80590,0.00106712991686313,0.0138975058940315,903,0,0.00221483942414175
13FL990858:250307081,3789,0.39245183425706,0.301398785959356,77943,0.000731303644971325,0.014651732676443,905,0,0.00220994475138122
13FL990628:250294901,4274,0.35353299017314,0.29854936827328,90059,0.00112148702517239,0.0141684895457422,989,0,0.00303336703741153
14FL992854:250412157,2701,0.42095520177712,0.335801554979637,60369,0.000430684622902483,0.0150242674220212,616,0,0
13FL991531:250306134,6522,0.372738423796382,0.28457528365532,79860,0.0013022789882294,0.0232406711745555,783,0.00127713920817369,0.00255427841634738
14FL991276:250410536,5195,0.39172281039461,0.299711260827719,62784,0.000653032619775739,0.0247993119266055,571,0,0
14FL992750:250412059,6562,0.369856750990552,0.310271258762572,67965,0.000485544030015449,0.0299565953064077,789,0,0.00126742712294043
14FL990744:250409927,3529,0.417398696514593,0.327288183621422,45210,0.00024330900243309,0.0255474452554745,380,0,0.00263157894736842
14FL991638:250410933,3599,0.401778271742151,0.312031119755488,76834,0.000299346643413072,0.0146159252414296,828,0.0036231884057971,0
13FL991327:250308550,3726,0.39747718733226,0.314814814814815,79750,0.000639498432601881,0.0147084639498433,861,0,0.00116144018583043
14FL991686:250410967,4237,0.371725277318858,0.285579419400519,85827,0.000664126673424447,0.0140981276288347,930,0,0
14FL991869:250411164,6219,0.373693519858498,0.285898054349574,76651,0.00126547598857158,0.0231960444090749,738,0,0.00542005420054201
13FL992192:250308036,2802,0.438615274803712,0.357244825124911,63692,0.000706525152295422,0.0157162594988382,620,0.00806451612903226,0.0112903225806452
14FL990669:250409828,3232,0.408106435643564,0.311262376237624,70887,0.000564278358514255,0.0141916007166335,698,0,0.00143266475644699
13FL992749:250426760,3966,0.37720625315179,0.296268280383258,84754,0.000424758713453052,0.0138636524529816,938,0.00106609808102345,0
13FL992197:250308041,3673,0.422270623468554,0.307378164987748,76197,0.00477709096158641,0.0148168563066787,845,0.00710059171597633,0.0319526627218935
14FL991108:250410332,3753,0.375432986943778,0.316280309086064,79968,0.00040016006402561,0.01484343737495,920,0.00434782608695652,0.00217391304347826
13FL992124:MERGE,8917,0.310530447459908,0.241000336436021,90319,0.00161649265381592,0.0237934432400713,1179,0.00254452926208651,0.00339270568278202
14FL990239:250409368,3586,0.388176240936977,0.315114333519242,76249,0.000209838817558263,0.0148198664900523,827,0,0.00120918984280532
13FL992271:250308097,9846,0.268738574040219,0.194292098314036,99737,0.00220580125730672,0.019180444569217,1288,0.00232919254658385,0.0124223602484472
13FL990924:250307175,6712,0.374702026221692,0.307806912991657,69123,0.000925885739912909,0.0298887490415636,858,0,0
14FL990535:250409684,2950,0.404406779661017,0.323050847457627,63716,0.000282503609768347,0.0149569966727353,661,0,0
13FL990122:250294338,6107,0.394956607172098,0.302767316194531,74176,0.00227836496980155,0.0249272001725626,811,0.00123304562268804,0.00369913686806412
13FL992098:MERGE,7350,0.345034013605442,0.276054421768707,86871,0.00127775667368857,0.0233564710893163,888,0.00112612612612613,0.00337837837837838
13FL991626:250306251,5975,0.390794979079498,0.31347280334728,72678,0.00112826439913041,0.0257712099947715,704,0.00284090909090909,0.00284090909090909
13FL990025:250304355,4650,0.4,0.354838709677419,58747,0.000919195873831855,0.0280865405893067,563,0.0088809946714032,0
13FL991421:250349557,3161,0.409680480860487,0.336602341031319,69992,0.000557206537890045,0.0152017373414104,768,0,0
13FL991458:MERGE,4224,0.357244318181818,0.274147727272727,86327,0.0131824342326271,0.013414111459914,978,0.0245398773006135,0.049079754601227
13FL992051:250307848,7617,0.355651831429697,0.287252199028489,78183,0.00130463144161774,0.0279856234731335,973,0.00102774922918808,0.00308324768756423
13FL992038:250307837,5984,0.384358288770053,0.314004010695187,73219,0.000696540515439981,0.0256627378139554,716,0,0.00139664804469274
14FL992365:250411655,3639,0.378125858752405,0.305853256389118,78422,0.000433551809441228,0.0141924459972967,863,0.00231749710312862,0.00115874855156431
14FL990968:250410177,5008,0.399361022364217,0.341453674121406,60615,0.000841375897055184,0.0282108389012621,579,0,0.00172711571675302
14FL992745:250412056,5452,0.393066764490095,0.28558327219369,68187,0.0030357692815346,0.0228342645958907,634,0.00630914826498423,0.00630914826498423
14FL991513:250410818,3964,0.405146316851665,0.282038345105954,81218,0.00121894161392795,0.0137654214582974,901,0.00332963374028857,0.00776914539400666
13FL991220:250305881,3173,0.402773400567286,0.333123227229751,69214,0.000491230097957061,0.0152714768688416,706,0,0.00141643059490085
14FL992063:250411355,7285,0.362937542896362,0.285655456417296,75459,0.000437323579692283,0.0275778899799891,946,0.00105708245243129,0.00422832980972516
13FL990740:250295032,7543,0.410049052101286,0.244199920456052,77378,0.0483212282560935,0.0238052159528548,935,0.108021390374332,0.231016042780749
14FL991733:250411024,3201,0.411433926897844,0.335832552327398,69323,0.000605859527141064,0.0155071188494439,758,0.00131926121372032,0
13FL990295:250323697,7323,0.356138194728936,0.288816058992216,76562,0.000548575011102113,0.0276246702019278,965,0,0.00103626943005181
14FL991488:250410796,3392,0.405660377358491,0.33372641509434,69786,0.000687817040667182,0.0162210185424011,712,0,0.00140449438202247
13FL992635:250308685,7086,0.377646062658764,0.304544171605984,73760,0.000772776572668113,0.0292570498915401,879,0,0
13FL991897:250307679,6236,0.391276459268762,0.322482360487492,64979,0.000723310608042598,0.0309484602717801,823,0,0.00364520048602673
13FL992632:250308682,6945,0.382433405327574,0.307703383729302,71776,0.00108671422202407,0.0297731832367365,920,0,0.00326086956521739
14FL991982:250411284,3384,0.419621749408983,0.318557919621749,72800,0.000370879120879121,0.0148076923076923,822,0,0
13FL990175:250294385,8970,0.341360089186176,0.239241917502787,90803,0.0207812517207581,0.0236335803883132,1211,0.0363336085879438,0.14037985136251
13FL992627:250308677,4153,0.386226823982663,0.290151697568023,84681,0.000897485858693213,0.01422987447007,961,0.00416233090530697,0.00208116545265349
13FL991166:250307451,3520,0.394318181818182,0.315909090909091,75779,0.000514654455719922,0.0146742501220655,869,0.00230149597238205,0.00345224395857307
14FL992401:250411688,6833,0.35752963559198,0.305283184545588,70497,0.00242563513340993,0.0295899116274451,865,0.0104046242774566,0.00578034682080925
14FL990292:250409416,7554,0.353190362721737,0.272967963992587,76726,0.000456168704220212,0.0268748533743451,918,0.00217864923747277,0.00108932461873638
13FL991251:250305911,3790,0.374142480211082,0.33377308707124,79438,0.000453183614894635,0.0159243686900476,877,0.00114025085518814,0.00456100342075257
14FL990358:250409499,3983,0.39844338438363,0.287722821993472,82129,0.000426158847666476,0.013953658269308,935,0.00213903743315508,0.00106951871657754
13FL990659:250294928,7050,0.360425531914894,0.260851063829787,84765,0.00228868046953342,0.0216952751725358,882,0.00680272108843537,0.0249433106575964
14FL992702:250411987,3327,0.39224526600541,0.319807634505561,73122,0.000574382538770821,0.0145510243155275,755,0,0.00264900662251656
14FL990605:250409776,5265,0.394112060778727,0.300854700854701,64335,0.000295329136550867,0.0246211238050828,584,0,0
14FL990442:250409576,5727,0.375414702287411,0.310110005238345,69672,0.000244000459294982,0.0254908715122287,696,0,0
14FL992645:250411940,5143,0.404822088275326,0.318491153023527,63045,0.000539297327305893,0.0259814418272662,555,0,0.0018018018018018
14FL992466:250411734,3495,0.391130185979971,0.294992846924177,77817,0.000976650346325353,0.0132490329876505,783,0.00127713920817369,0.00766283524904215
13FL992758:250308832,5360,0.409888059701493,0.3375,65396,0.000688115481069179,0.027662242338981,656,0,0.00304878048780488
13FL992540:250308440,5546,0.399567255679769,0.32744320230797,67789,0.000870347696528935,0.0267890070660432,653,0.00306278713629403,0
14FL990466:250409630,3000,0.426333333333333,0.315333333333333,65851,0.000637803526142352,0.0143657651364444,668,0.00149700598802395,0.0029940119760479
14FL991303:250410561,4999,0.408881776355271,0.299659931986397,60309,0.00028188164287254,0.0248387471190038,568,0,0
14FL991241:250410504,5730,0.367364746945899,0.277486910994764,70213,0.000327574665660205,0.0226453790608577,673,0.00148588410104012,0
14FL992192:250411479,7804,0.352255253716043,0.262685802152742,79639,0.000678059744597496,0.0257411569708309,1020,0,0.00196078431372549
13FL992830:250308930,6281,0.396433688903041,0.294061455182296,75636,0.000951927653498334,0.0244195885557142,709,0.00282087447108604,0
13FL990107:250304423,4387,0.431958057898336,0.348985639389104,54530,0.00603337612323492,0.0280762882816798,507,0.00591715976331361,0.0138067061143984
14FL992991:250426638,7489,0.358926425423955,0.265188943784217,76080,0.00278654048370137,0.0261041009463722,957,0.00940438871473354,0.0261233019853709
13FL992697:250308743,3258,0.423572744014733,0.32780847145488,71340,0.000925147182506308,0.0149705634987384,796,0,0.00251256281407035
14FL990330:250409447,7317,0.352466858001913,0.290966242995763,74627,0.00054939901108178,0.0285285486486124,950,0,0.00315789473684211
