file,het,err,chunk,rate,type,size
largedata/sim2//size52_rate0.5_1k.csv,184,1,1,0.00543478260869565,rate0.5,52
largedata/sim2//size52_rate1_1k.csv,184,0,2,0,rate1,52
largedata/sim2//size53_rate0_1k.csv,184,72,1,0.391304347826087,rate0,53
largedata/sim2//size53_rate0.5_1k.csv,184,90,1,0.489130434782609,rate0.5,53
largedata/sim2//size53_rate1_1k.csv,184,0,4,0,rate1,53
largedata/sim2//size54_rate0_1k.csv,184,49,2,0.266304347826087,rate0,54
largedata/sim2//size54_rate0.5_1k.csv,184,0,1,0,rate0.5,54
largedata/sim2//size54_rate1_1k.csv,184,0,1,0,rate1,54
largedata/sim2//size55_rate0_1k.csv,184,0,1,0,rate0,55
largedata/sim2//size55_rate0.5_1k.csv,184,20,1,0.108695652173913,rate0.5,55
largedata/sim2//size55_rate1_1k.csv,184,0,1,0,rate1,55
largedata/sim2//size56_rate0_1k.csv,184,84,1,0.456521739130435,rate0,56
largedata/sim2//size56_rate0.5_1k.csv,184,0,1,0,rate0.5,56
largedata/sim2//size56_rate1_1k.csv,184,0,1,0,rate1,56
largedata/sim2//size57_rate0_1k.csv,184,0,1,0,rate0,57
largedata/sim2//size57_rate0.5_1k.csv,184,31,1,0.168478260869565,rate0.5,57
largedata/sim2//size57_rate1_1k.csv,184,0,2,0,rate1,57
largedata/sim2//size58_rate0_1k.csv,184,13,1,0.0706521739130435,rate0,58
largedata/sim2//size58_rate0.5_1k.csv,184,1,1,0.00543478260869565,rate0.5,58
largedata/sim2//size58_rate1_1k.csv,184,0,1,0,rate1,58
largedata/sim2//size59_rate0_1k.csv,184,44,1,0.239130434782609,rate0,59
largedata/sim2//size59_rate0.5_1k.csv,184,84,1,0.456521739130435,rate0.5,59
largedata/sim2//size59_rate1_1k.csv,184,0,1,0,rate1,59
largedata/sim2//size5_rate0_1k.csv,184,54,6,0.293478260869565,rate0,5
largedata/sim2//size5_rate0.5_1k.csv,184,44,7,0.239130434782609,rate0.5,5
largedata/sim2//size5_rate1_1k.csv,184,22,9,0.119565217391304,rate1,5
largedata/sim2//size60_rate0_1k.csv,184,83,1,0.451086956521739,rate0,60
largedata/sim2//size60_rate0.5_1k.csv,184,0,1,0,rate0.5,60
largedata/sim2//size60_rate1_1k.csv,184,0,1,0,rate1,60
largedata/sim2//size61_rate0_1k.csv,184,59,1,0.320652173913043,rate0,61
largedata/sim2//size61_rate0.5_1k.csv,184,0,1,0,rate0.5,61
largedata/sim2//size61_rate1_1k.csv,184,40,1,0.217391304347826,rate1,61
largedata/sim2//size62_rate0_1k.csv,184,10,1,0.0543478260869565,rate0,62
largedata/sim2//size62_rate0.5_1k.csv,184,90,1,0.489130434782609,rate0.5,62
largedata/sim2//size62_rate1_1k.csv,184,0,1,0,rate1,62
largedata/sim2//size63_rate0_1k.csv,184,84,1,0.456521739130435,rate0,63
largedata/sim2//size63_rate0.5_1k.csv,184,30,1,0.16304347826087,rate0.5,63
largedata/sim2//size63_rate1_1k.csv,184,80,1,0.434782608695652,rate1,63
largedata/sim2//size64_rate0_1k.csv,184,10,1,0.0543478260869565,rate0,64
largedata/sim2//size64_rate0.5_1k.csv,184,61,1,0.331521739130435,rate0.5,64
largedata/sim2//size64_rate1_1k.csv,184,0,1,0,rate1,64
largedata/sim2//size65_rate0_1k.csv,184,80,1,0.434782608695652,rate0,65
largedata/sim2//size65_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,65
largedata/sim2//size65_rate1_1k.csv,184,0,1,0,rate1,65
largedata/sim2//size66_rate0_1k.csv,184,74,2,0.402173913043478,rate0,66
largedata/sim2//size66_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,66
largedata/sim2//size66_rate1_1k.csv,184,0,1,0,rate1,66
largedata/sim2//size67_rate0_1k.csv,184,74,1,0.402173913043478,rate0,67
largedata/sim2//size67_rate0.5_1k.csv,184,54,1,0.293478260869565,rate0.5,67
largedata/sim2//size67_rate1_1k.csv,184,84,1,0.456521739130435,rate1,67
largedata/sim2//size68_rate0_1k.csv,184,20,1,0.108695652173913,rate0,68
largedata/sim2//size68_rate0.5_1k.csv,184,0,1,0,rate0.5,68
largedata/sim2//size68_rate1_1k.csv,184,0,1,0,rate1,68
largedata/sim2//size69_rate0_1k.csv,184,70,1,0.380434782608696,rate0,69
largedata/sim2//size69_rate0.5_1k.csv,184,0,1,0,rate0.5,69
largedata/sim2//size69_rate1_1k.csv,184,0,1,0,rate1,69
largedata/sim2//size6_rate0_1k.csv,184,46,6,0.25,rate0,6
